,Age,Number of Dependents,Number of Referrals,Tenure in Months,Avg Monthly GB Download,Monthly Charge,Total Refunds,Total Long Distance Charges,Total Revenue,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_Não contratado,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Customer Status
48,0,3,1,39,53.0,99.95,0,950.82,4718.22,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
49,1,0,0,40,23.0,91.55,0,1765.6,5439.2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
50,0,0,0,40,15.0,104.5,0,1507.6,5544.45,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
51,1,1,0,11,29.0,95.0,0,127.49,1367.79,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
52,0,0,10,6,85.0,50.35,0,255.96,570.51,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
53,0,0,0,30,15.0,64.5,0,79.2,1967.65,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
54,0,0,0,27,0.0,19.4,0,557.82,1087.62,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
55,1,0,3,70,28.0,104.8,1,2764.3,10067.14,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
56,0,0,10,57,73.0,109.4,0,456.57,6709.27,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
57,1,0,10,58,18.0,50.3,1,1065.46,3933.78,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
58,0,0,0,16,48.0,71.4,0,411.36,1623.46,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
59,0,0,3,69,27.0,116.0,0,2657.88,10840.73,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
60,0,0,0,1,0.0,19.85,0,31.77,51.62,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
61,0,0,0,1,25.0,99.75,0,40.71,140.46,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
62,1,1,9,32,23.0,93.95,0,1019.52,3880.97,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
63,0,2,8,16,12.0,90.8,0,779.36,2221.56,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
64,1,0,1,49,10.0,84.35,0,1937.95,5997.3,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
65,0,0,2,71,29.0,58.25,0,0.0,4145.9,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
66,0,0,0,33,12.0,107.55,0,1639.77,5285.27,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
67,0,0,9,10,0.0,19.95,0,496.0,683.75,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
68,0,0,1,21,59.0,111.2,0,761.46,3198.56,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
69,0,1,1,37,23.0,40.2,0,0.0,1448.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
70,1,0,0,26,7.0,85.8,0,877.24,3070.89,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
71,0,0,0,50,7.0,35.4,0,0.0,1748.9,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
72,0,0,0,7,26.0,73.85,1,200.34,698.56,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
73,1,0,1,61,28.0,88.1,0,2878.59,8405.34,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
74,0,0,0,15,12.0,101.35,0,688.8,2242.75,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
75,0,2,0,26,19.0,45.8,0,0.0,1147.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
76,0,0,9,72,23.0,94.65,0,2391.84,9139.19,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
77,1,0,1,44,0.0,20.5,0,1205.6,2070.65,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
78,0,0,0,66,8.0,89.4,1,3219.48,9200.36,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
79,0,0,0,2,16.0,86.25,0,73.62,255.27,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
80,1,0,0,44,17.0,74.85,1,339.68,3589.82,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
81,0,0,0,12,6.0,89.75,0,172.56,1224.96,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
82,1,0,1,69,17.0,109.95,0,1270.29,8904.54,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
83,0,0,0,1,69.0,80.2,0,1.23,81.43,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
84,0,0,0,3,0.0,19.85,0,77.25,141.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
85,1,0,0,27,4.0,86.45,0,80.19,2481.24,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
86,0,0,0,26,0.0,20.3,0,346.84,858.09,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
87,1,0,9,39,21.0,101.25,0,785.85,4735.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
88,0,0,0,25,8.0,94.7,0,872.0,3234.1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
89,0,0,0,1,23.0,70.9,0,39.81,110.71,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
90,0,0,1,22,21.0,54.2,0,599.28,1751.98,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
91,0,0,0,72,5.0,114.9,0,3482.64,11979.34,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
92,0,0,0,24,0.0,19.55,0,255.36,725.56,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
93,0,0,8,19,16.0,86.85,0,148.96,1713.36,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
94,0,2,2,71,0.0,25.35,0,653.2,2500.75,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
95,1,0,7,33,20.0,109.9,0,829.95,4524.65,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
96,0,1,7,47,13.0,87.2,0,51.23,4068.68,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
97,0,3,2,62,20.0,108.15,0,109.12,6934.77,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
98,0,0,0,71,48.0,116.3,0,204.48,8514.03,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
99,1,0,8,7,11.0,89.0,0,293.79,899.24,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
100,0,2,6,27,28.0,74.4,0,1259.82,3232.17,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
101,0,3,0,25,75.0,35.05,0,0.0,844.45,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
102,1,0,0,30,5.0,74.75,0,1158.3,3269.6,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
103,1,0,1,58,19.0,105.5,0,982.52,7188.02,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
104,0,0,1,10,82.0,85.25,0,20.2,975.5,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
105,0,0,0,9,28.0,75.2,0,83.43,717.28,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
106,1,0,1,6,17.0,84.35,0,172.26,647.16,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
107,0,1,7,69,16.0,84.45,0,2685.48,8574.08,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
108,1,0,0,66,20.0,102.4,0,689.7,7161.55,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
109,0,0,0,70,52.0,115.55,0,714.7,8842.3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
110,1,0,0,25,0.0,25.3,0,139.25,815.6,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
111,0,2,1,46,0.0,19.25,0,1119.18,1983.38,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
112,1,0,7,54,26.0,114.65,0,615.6,6665.1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
113,0,0,0,15,7.0,105.1,0,335.85,1918.6,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
114,0,1,0,12,0.0,19.4,0,99.0,297.1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
115,0,0,0,22,22.0,50.35,0,0.0,1098.85,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
116,0,0,9,70,85.0,57.8,0,0.0,4038.29,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
117,0,0,0,30,20.0,84.3,0,741.9,3310.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
118,0,1,1,71,59.0,100.55,1,2012.14,9108.9,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
119,0,0,2,30,0.0,19.8,0,294.3,870.95,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
120,0,0,5,4,19.0,84.8,0,115.08,486.98,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
121,0,0,0,2,28.0,85.85,0,28.28,195.58,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
122,0,1,0,10,0.0,19.95,0,78.6,298.1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
123,1,0,0,4,29.0,75.35,0,145.6,419.0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
124,1,0,0,52,19.0,48.8,0,0.0,2555.05,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
125,0,0,0,5,85.0,47.15,0,110.05,333.2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
126,0,3,1,8,0.0,20.15,0,22.96,188.46,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
127,0,0,0,19,18.0,59.55,0,225.15,1369.75,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
128,0,0,0,72,13.0,69.65,0,263.52,5171.77,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
129,1,0,2,63,7.0,36.1,0,0.0,2298.9,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
130,0,0,1,66,29.0,56.6,0,0.0,3789.2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
131,0,0,0,1,27.0,75.9,0,44.56,120.46,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
132,0,0,0,60,48.0,79.2,0,917.4,5682.4,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
133,0,3,3,48,22.0,45.0,0,0.0,2196.3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
134,0,0,0,1,4.0,85.55,0,33.34,118.89,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
135,0,0,0,15,15.0,93.35,0,733.95,2178.6,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
136,1,0,4,50,13.0,109.65,0,1728.5,7134.3,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
137,0,1,10,72,30.0,89.7,0,2430.0,8769.3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
138,0,0,0,46,21.0,84.25,0,1990.42,5938.02,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
139,0,1,4,72,19.0,92.65,0,2160.0,8893.0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
140,1,0,0,67,21.0,92.45,0,172.19,6313.04,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
141,0,1,5,48,27.0,79.65,0,429.12,4299.42,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
142,0,0,0,72,73.0,109.9,0,3017.52,10641.72,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
143,1,0,6,52,24.0,81.4,0,2149.68,6504.13,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
144,0,3,1,67,28.0,50.55,0,3142.3,6574.05,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
145,0,0,1,28,13.0,81.05,0,471.8,2698.9,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
146,0,1,9,32,51.0,62.45,0,1064.96,3110.51,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
147,1,0,2,27,25.0,75.2,0,189.54,2118.89,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
148,0,0,0,2,27.0,85.65,0,80.86,262.36,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
149,0,2,0,9,11.0,72.9,0,319.41,970.81,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
150,0,2,10,50,28.0,70.5,0,2224.5,5711.15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
151,0,2,1,71,0.0,20.1,0,2203.13,3592.73,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
152,1,0,2,32,10.0,74.9,0,1514.88,3818.23,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
153,0,3,10,16,76.0,100.7,0,436.32,1959.02,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
154,0,3,8,67,22.0,105.65,0,1191.93,7909.83,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
155,0,1,1,72,13.0,114.3,0,1147.68,9206.23,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
156,0,0,0,3,0.0,19.75,0,73.89,132.74,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
157,0,3,1,23,0.0,24.35,0,1104.46,1642.96,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
158,1,2,1,72,18.0,69.85,1,2042.64,7119.75,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
159,0,2,9,7,47.0,-3.0,0,0.0,465.7,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
160,0,3,10,8,57.0,54.4,0,12.48,487.58,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
161,0,4,9,66,23.0,50.55,0,0.0,3474.55,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
162,0,0,0,5,0.0,21.05,0,171.3,285.15,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
163,0,1,0,49,11.0,103.7,0,2172.17,7208.47,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
164,0,0,2,63,0.0,19.95,0,2416.68,3651.48,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
165,1,1,1,12,14.0,29.3,0,0.0,355.9,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
166,0,6,5,27,53.0,54.75,0,977.13,2487.43,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
167,0,0,0,35,20.0,60.55,0,1568.35,3550.95,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
168,0,2,7,54,12.0,86.2,0,233.82,4757.87,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
169,0,0,0,1,2.0,95.45,0,5.59,101.04,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
170,0,0,0,5,5.0,63.95,0,69.8,387.9,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
171,1,0,0,19,6.0,65.35,0,794.01,2085.86,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
172,0,2,1,52,17.0,50.2,1,0.0,2526.99,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
173,1,3,8,72,22.0,63.8,0,0.0,4684.3,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
174,0,0,0,32,0.0,20.05,1,477.12,1081.84,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
175,0,0,1,8,6.0,101.15,0,135.04,977.94,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
176,0,0,0,41,30.0,65.0,0,1539.55,4211.35,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
177,0,0,0,5,0.0,19.25,0,105.05,191.1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
178,0,1,0,11,17.0,36.05,0,0.0,502.6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
179,1,0,0,5,11.0,96.1,0,155.45,608.85,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
180,1,0,0,16,0.0,19.05,0,664.16,990.81,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
181,1,0,0,71,9.0,105.75,0,433.1,7815.95,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
182,0,0,0,11,59.0,40.4,0,0.0,422.6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
183,1,0,1,61,7.0,99.15,0,3009.13,9019.18,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
184,0,0,2,71,6.0,84.8,0,1637.26,7683.36,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
185,0,0,0,9,0.0,19.85,0,366.66,545.46,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
186,1,0,0,6,8.0,49.45,0,234.96,549.56,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
187,0,0,0,26,22.0,88.8,0,990.34,3314.69,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
188,0,0,0,6,30.0,55.15,0,41.88,364.78,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
189,0,0,0,11,15.0,84.8,0,336.27,1225.02,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
190,0,0,1,1,73.0,80.55,0,43.67,124.22,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
191,0,0,10,49,0.0,20.15,0,138.18,1111.53,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
192,0,0,0,53,13.0,99.5,0,2309.21,7733.46,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
193,0,0,1,23,27.0,99.85,0,872.85,3204.15,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
194,1,0,0,2,9.0,45.35,0,50.98,140.48,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
195,0,0,0,1,9.0,48.55,0,11.35,59.9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
196,1,0,1,68,24.0,100.2,0,1450.44,8302.09,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
197,0,0,0,8,10.0,94.7,0,155.92,976.22,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
198,0,0,9,70,26.0,97.65,0,1166.2,8228.7,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
199,1,3,9,39,75.0,100.0,0,674.31,4509.86,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
200,0,0,0,1,25.0,70.1,0,17.37,87.47,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
201,0,0,0,3,7.0,97.9,0,90.54,405.84,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
202,0,0,8,60,4.0,102.5,0,1153.2,7310.8,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
203,0,0,1,5,10.0,69.95,0,85.4,415.55,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
204,1,0,0,3,14.0,81.35,0,27.66,261.36,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
205,0,0,0,55,13.0,66.05,1,1945.9,5513.47,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
206,0,0,0,72,6.0,61.2,0,0.0,4390.25,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
207,1,0,7,72,9.0,74.4,0,379.44,5880.19,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
208,1,0,0,41,22.0,106.3,0,427.63,5001.08,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
209,0,0,0,60,25.0,39.6,1,0.0,2386.04,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
210,0,0,0,6,22.0,89.3,0,15.6,593.2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
211,0,0,6,46,48.0,108.9,0,92.0,4946.3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
212,0,0,0,15,0.0,19.9,0,41.1,361.55,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
213,0,0,1,58,28.0,102.1,0,203.58,6188.98,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
